Candidate Number,,CEGE201M,COMP201P,COMP202P,COMP203P,COMP204P,COMP205P,COMP206P,COMP207P,COMP209P,COMP7008,ELEC210P,LCFR6001,LCFR6003,LCGE6001,LCGE6002,LCJA6001,LCJA6005,LCMA6001,LCMA6003,MSIN6001B,MSIN7008,MSIN716P,STAO6002,Year Average,,
,Module Result,,,,,,,,,,,,,,,49,,,,,,,,,49,,
,Module Result,73,91,87,68,71,72,74,88,,,,,,,,,,,,,,,,78,,
,Module Result,,91,95,57,70,76,78,86,81,,,,,,,,,,,,,,,79,,
,Module Result,,40,41,58,51,59,41,43,,,,,,,,,,,,,,50,,48,,
,Module Result,,89,75,67,74,71,74,88,72,,,,,,,,,,,,,,,76,,
,Module Result,,45,51,,,,45,,,57,,,,,,,,,,,,,,50,,
,Module Result,,94,73,48,75,71,46,83,41,,,,,,,,,,,,,,,66,,
,Module Result,,66,77,64,75,72,54,73,64,,,,,,,,,,,,,,,68,,
,Module Result,,82,45,66,80,83,35,81,,,76,,,,,,,,,,,,,73,,
,Module Result,,75,69,69,84,78,52,74,,,,,,,53,,,,,,,,,69,,
,Module Result,,81,92,67,73,74,74,67,,,,,75,,,,,,,,,,,75,,
,Module Result,,70,77,62,76,78,59,61,,,64,,,,,,,,,,,,,68,,
,Module Result,,90,77,66,78,72,67,75,,,72,,,,,,,,,,,,,75,,
,Module Result,,78,74,54,60,68,52,70,,,,,,,,64,,,,,,,,65,,
,Module Result,,95,94,77,90,86,92,90,78,,,,,,,,,,,,,,,88,,
,Module Result,,60,60,60,65,66,73,75,,,,,,,,,,,,,,42,,63,,
,Module Result,67,86,94,63,88,83,81,89,,,,,,,,,,,,,,,,81,,
,Module Result,,82,83,74,73,75,70,85,,,,,,,,,64,,,,,,,76,,
,Module Result,,94,94,73,87,84,89,94,72,,,,,,,,,,,,,,,86,,
,Module Result,,53,55,0,68,57,55,65,55,,,,,,,,,,,,,,,58,,
,Module Result,,56,63,68,80,77,51,54,,,,,,,,,,,,,,45,,62,,
,Module Result,,68,72,63,74,77,62,72,,,,,,,,,,,,70,,,,70,,
,Module Result,,67,65,68,72,77,83,76,,,66,,,,,,,,,,,,,72,,
,Module Result,,70,62,69,59,71,59,72,,,,,,,,64,,,,,,,,66,,
,Module Result,,74,89,66,76,75,66,91,64,,,,,,,,,,,,,,,75,,
,Module Result,,60,48,61,60,61,57,41,,,,,,,,,,,,,66,,,57,,
,Module Result,,70,64,66,65,75,85,75,,,,,,,,,,,,,,68,,71,,
,Module Result,,55,69,52,50,50,69,44,31,,,,,,,,,,,,,,,56,,
,Module Result,,48,57,58,67,70,64,52,,,,,,,,,,,,,64,,,60,,
,Module Result,,55,77,64,65,71,74,70,,,,,,,,,,,,,,59,,67,,
,Module Result,,81,79,69,73,75,58,63,,,72,,,,,,,,,,,,,71,,
,Module Result,,63,63,55,67,67,61,53,,,,,,,,,,,,,65,,,62,,
,Module Result,,66,63,61,62,64,45,71,,,,71,,,,,,,,,,,,63,,
,Module Result,,77,92,61,76,76,71,89,65,,,,,,,,,,,,,,,76,,
,Module Result,65,73,70,65,83,81,74,61,,,,,,,,,,,,,,,,72,,
,Module Result,,95,90,70,57,70,77,76,73,,,,,,,,,,,,,,,76,,
,Module Result,,71,76,62,80,77,84,84,,,55,,,,,,,,,,,,,74,,
,Module Result,71,81,81,68,75,75,66,88,,,,,,,,,,,,,,,,76,,
,Module Result,,67,69,64,75,75,0,51,,,,,,,,,,54,,,,,,65,,
,Module Result,72,67,68,57,69,63,74,65,,,,,,,,,,,,,,,,67,,
,Module Result,,81,85,66,80,78,67,86,,,,,,,,,,,,63,,,,76,,
,Module Result,,59,68,66,75,67,50,55,,,,,,,,,,,,,,47,,61,,
,Module Result,,73,74,66,70,72,64,56,,,,,,,,,,,,,73,,,69,,
,Module Result,,31,51,53,72,74,39,32,58,,,,,,,,,,,,,,,62,,
,Module Result,78,95,79,76,73,75,86,87,,,,,,,,,,,,,,,,81,,
,Module Result,,75,89,63,64,63,59,78,,,,,,,,,,,,,,62,,69,,
,Module Result,,82,84,70,85,84,81,77,70,,,,,,,,,,,,,,,79,,
,Module Result,,82,78,69,68,74,86,65,,,,,,,,,,,,75,,,,75,,
,Module Result,,80,69,66,71,75,84,80,,,,,,,,,,,,70,,,,74,,
,Module Result,,72,69,65,70,71,83,63,,,,,,,,,,,,,,58,,69,,
,Module Result,,89,87,72,74,73,76,95,60,,,,,,,,,,,,,,,78,,
,Module Result,,85,82,69,75,78,93,89,68,,,,,,,,,,,,,,,80,,
,Module Result,,80,69,68,74,82,70,87,,,,,,,,,,,70,,,,,75,,
,Module Result,,84,89,71,70,73,78,84,,,,,,79,,,,,,,,,,79,,
,Module Result,,71,50,57,66,61,48,63,,,,,,,,45,,,,,,,,58,,
